chromosome	start	end	copy_number	minor_cn	major_cn	ccf	baf	logr	
1	17500	249250620	2	1	1	1	0.5	0.0	
2	12467	242942500	2	1	1	1	0.5	0.0	
3	62500	44062499	2	1	1	1	0.5	0.0	
3	44062500	59784625	1	0	1	1	0.740740740738	-1.0	
3	59784626	60497952	2	0	2	1	0.825000000002	0.0	
3	60497953	61201173	1	0	1	1	0.740740740738	-1.0	
3	61201174	175227430	2	1	1	1	0.5	0.0	
3	175227431	176004327	2	1	1	1	0.5	0.0	
3	176004328	198022429	2	1	1	1	0.5	0.0	
4	59983	77150189	2	1	1	1	0.5	0.0	
4	77150190	77218239	6	3	3	1	0.499999999999	1.58496250072	
4	77218240	131944913	2	1	1	1	0.5	0.0	
4	131944914	132360324	2	1	1	1	0.5	0.0	
4	132360325	191154275	2	1	1	1	0.5	0.0	
5	17500	180712500	2	1	1	1	0.5	0.0	
6	209462	170867747	2	1	1	1	0.5	0.0	
7	42500	121034911	2	1	1	1	0.5	0.0	
7	121034912	128656194	1	0	1	1	0.740740740738	-1.0	
7	128656195	139316010	2	1	1	1	0.5	0.0	
7	139316011	140133369	1	0	1	1	0.740740740738	-1.0	
7	140133370	159138662	2	1	1	1	0.5	0.0	
8	155757	141456917	2	1	1	1	0.5	0.0	
8	141456918	142073434	2	1	1	1	0.5	0.0	
8	142073435	146364021	2	1	1	1	0.5	0.0	
9	10001	203760	1	0	1	1	0.740740740738	-1.0	
9	203761	21864519	2	0	2	1	0.825000000002	0.0	
9	21864520	22320554	0	0	0	1	0.500000000001	-inf	
9	22320555	24994617	2	0	2	1	0.825000000002	0.0	
9	24994618	141213430	2	1	1	1	0.5	0.0	
10	97500	135235890	2	1	1	1	0.5	0.0	
11	196944	135006515	2	1	1	1	0.5	0.0	
12	67500	133851894	2	1	1	1	0.5	0.0	
13	16300000	115169877	2	1	1	1	0.5	0.0	
14	16100000	67493981	2	1	1	1	0.5	0.0	
14	67493982	68018643	2	1	1	1	0.5	0.0	
14	68018644	107349539	2	1	1	1	0.5	0.0	
15	15800000	100745994	2	1	1	1	0.5	0.0	
16	84870	90354752	2	1	1	1	0.5	0.0	
17	3104	41118903	2	0	2	1	0.825000000002	0.0	
17	41118904	81195209	2	0	2	1	0.825000000002	0.0	
18	12500	15399999	2	1	1	1	0.5	0.0	
18	15400000	20385991	1	0	1	1	0.740740740738	-1.0	
18	20385992	78077247	1	0	1	1	0.740740740738	-1.0	
19	97500	59128982	2	1	1	1	0.5	0.0	
20	65900	63025519	2	1	1	1	0.5	0.0	
21	9412500	48129894	2	1	1	1	0.5	0.0	
22	12200000	51304565	2	1	1	1	0.5	0.0	
