chromosome	start	end	copy_number	minor_cn	major_cn	ccf	baf	logr	
1	10001	249250620	1	0	1	1	0.704225352114	-1.0	
2	9997	242985493	1	0	1	1	0.704225352114	-1.0	
3	60596	197811124	1	0	1	1	0.704225352114	-1.0	
4	98932	190766326	2	1	1	1	0.5	0.0	
5	17500	180703644	2	1	1	1	0.5	0.0	
6	209462	170919470	1	0	1	1	0.704225352114	-1.0	
7	44546	159138662	2	1	1	1	0.5	0.0	
8	146791	146364021	1	0	1	1	0.704225352114	-1.0	
9	42500	141213430	1	0	1	1	0.704225352114	-1.0	
10	93528	135534746	1	0	1	1	0.704225352114	-1.0	
11	196944	135006515	1	0	1	1	0.704225352114	-1.0	
12	67500	133851894	2	1	1	1	0.5	0.0	
13	16300000	115169877	2	1	1	1	0.5	0.0	
15	15800000	20699999	2	1	1	1	0.5	0.0	
15	20700000	102431166	1	0	1	1	0.704225352114	-1.0	
16	84170	90354752	1	0	1	1	0.704225352114	-1.0	
17	3104	81195209	2	1	1	1	0.5	0.0	
18	12500	78077247	2	1	1	1	0.5	0.0	
19	226776	59128982	2	1	1	1	0.5	0.0	
20	65288	63025519	2	1	1	1	0.5	0.0	
21	9412500	48129894	1	0	1	1	0.704225352114	-1.0	
22	12200000	51304565	1	0	1	1	0.704225352114	-1.0	
