chromosome	start	end	copy_number	minor_cn	major_cn	ccf	baf	logr	
1	17500	8099404	2	1	1	1	0.500000000001	0.0	
1	8099405	8445431	2	1	1	1	0.565009352299	0.384049806795	
1	8099405	8445431	3	1	2	0.61	0.565009352299	0.384049806795	
1	8445432	10468810	2	1	1	1	0.500000000001	0.0	
1	10468811	10516903	3	1	2	1	0.598393574297	0.584962500721	
1	10516904	11903390	2	1	1	1	0.500000000001	0.0	
1	11903391	12036376	3	2	1	1	0.465739180322	0.851998837112	
1	11903391	12036376	4	2	2	0.61	0.465739180322	0.851998837112	
1	12036377	19297099	2	1	1	1	0.500000000001	0.0	
1	19297100	19401245	3	1	2	1	0.598393574297	0.584962500721	
1	19401246	29394990	2	1	1	1	0.500000000001	0.0	
1	29394991	29533816	2	1	1	1	0.586178357128	0.510961919277	
1	29394991	29533816	3	1	2	0.85	0.586178357128	0.510961919277	
1	29533817	45093328	2	1	1	1	0.500000000001	0.0	
1	45093329	45119176	3	1	2	1	0.598393574297	0.584962500721	
1	45119177	48365440	2	1	1	1	0.500000000001	0.0	
1	48365441	48400994	2	1	1	1	0.587854917407	-0.524915117051	
1	48365441	48400994	1	0	1	0.61	0.587854917407	-0.524915117051	
1	48400995	54434762	2	1	1	1	0.500000000001	0.0	
1	54434763	54500360	3	1	2	1	0.598393574297	0.584962500721	
1	54500361	55426466	2	1	1	1	0.500000000001	0.0	
1	55426467	55454313	2	1	1	1	0.524466213326	0.144046369617	
1	55426467	55454313	3	1	2	0.21	0.524466213326	0.144046369617	
1	55454314	204153566	2	1	1	1	0.500000000001	0.0	
1	204153567	204185081	3	1	2	1	0.598393574297	0.584962500721	
1	204185082	215788599	2	1	1	1	0.500000000001	0.0	
1	215788600	215842949	4	1	3	1	0.664429530202	1.0	
1	215842950	248548945	2	1	1	1	0.500000000001	0.0	
2	35929	9864742	2	1	1	1	0.500000000001	0.0	
2	9864743	10545269	2	1	1	1	0.586178357128	0.510961919277	
2	9864743	10545269	3	1	2	0.85	0.586178357128	0.510961919277	
2	10545270	48452072	2	1	1	1	0.500000000001	0.0	
2	48452073	48482567	3	1	2	1	0.598393574297	0.584962500721	
2	48482568	62313287	2	1	1	1	0.500000000001	0.0	
2	62313288	62746878	2	1	1	1	0.565009352299	0.384049806795	
2	62313288	62746878	3	1	2	0.61	0.565009352299	0.384049806795	
2	62746879	62952262	4	2	2	1	0.5	1.0	
2	62952263	85946074	2	1	1	1	0.500000000001	0.0	
2	85946075	86002302	2	1	1	1	0.565009352299	0.384049806795	
2	85946075	86002302	3	1	2	0.61	0.565009352299	0.384049806795	
2	86002303	112844459	2	1	1	1	0.500000000001	0.0	
2	112844460	113312135	3	1	2	1	0.598393574297	0.584962500721	
2	113312136	192000758	2	1	1	1	0.500000000001	0.0	
2	192000759	192080905	3	1	2	1	0.598393574297	0.584962500721	
2	192080906	216934641	2	1	1	1	0.500000000001	0.0	
2	216934642	217017334	3	1	2	1	0.598393574297	0.584962500721	
2	217017335	241819874	2	1	1	1	0.500000000001	0.0	
2	241819875	242275749	2	1	1	1	0.586178357128	0.510961919277	
2	241819875	242275749	3	1	2	0.85	0.586178357128	0.510961919277	
2	242275750	243041569	2	1	1	1	0.500000000001	0.0	
3	93078	4667470	2	1	1	1	0.500000000001	0.0	
3	4667471	5034979	1	0	1	1	0.662251655631	-1.0	
3	5034980	10578664	2	1	1	1	0.500000000001	0.0	
3	10578665	10629770	3	1	2	1	0.598393574297	0.584962500721	
3	10629771	24250444	2	1	1	1	0.500000000001	0.0	
3	24250445	24735390	3	1	2	1	0.598393574297	0.584962500721	
3	24735391	125980903	2	1	1	1	0.500000000001	0.0	
3	125980904	126152923	2	1	1	1	0.565009352299	0.384049806795	
3	125980904	126152923	3	1	2	0.61	0.565009352299	0.384049806795	
3	126152924	172197128	2	1	1	1	0.500000000001	0.0	
3	172197129	172222192	3	1	2	1	0.598393574297	0.584962500721	
3	172222193	172350026	4	1	3	1	0.664429530202	1.0	
3	172350027	172385279	3	1	2	1	0.598393574297	0.584962500721	
3	172385280	197836780	2	1	1	1	0.500000000001	0.0	
4	9997	15469298	2	1	1	1	0.500000000001	0.0	
4	15469299	15560267	2	1	1	1	0.586178357128	0.510961919277	
4	15469299	15560267	3	1	2	0.85	0.586178357128	0.510961919277	
4	15560268	39378877	2	1	1	1	0.500000000001	0.0	
4	39378878	39426432	3	1	2	1	0.598393574297	0.584962500721	
4	39426433	39574222	4	2	2	1	0.5	1.0	
4	39574223	69713118	2	1	1	1	0.500000000001	0.0	
4	69713119	70182607	3	1	2	1	0.598393574297	0.584962500721	
4	70182608	74989334	2	1	1	1	0.500000000001	0.0	
4	74989335	156756122	2	1	1	1	0.631512472373	-0.79836613883	
4	74989335	156756122	1	0	1	0.85	0.631512472373	-0.79836613883	
4	156756123	185751126	2	1	1	1	0.500000000001	0.0	
4	185751127	185801571	3	1	2	1	0.598393574297	0.584962500721	
4	185801572	185913720	2	1	1	1	0.500000000001	0.0	
4	185913721	185924450	1	0	1	1	0.662251655631	-1.0	
4	185924451	191154275	2	1	1	1	0.631512472373	-0.79836613883	
4	185924451	191154275	1	0	1	0.85	0.631512472373	-0.79836613883	
5	20510	919413	2	1	1	1	0.500000000001	0.0	
5	919414	1312192	3	1	2	1	0.598393574297	0.584962500721	
5	1312193	10270733	2	1	1	1	0.500000000001	0.0	
5	10270734	10365560	3	1	2	1	0.598393574297	0.584962500721	
5	10365561	54804975	2	1	1	1	0.500000000001	0.0	
5	54804976	54982123	2	1	1	1	0.524466213326	0.144046369617	
5	54804976	54982123	3	1	2	0.21	0.524466213326	0.144046369617	
5	54982124	60424870	2	1	1	1	0.500000000001	0.0	
5	60424871	60883810	3	1	2	1	0.598393574297	0.584962500721	
5	60883811	114834536	2	1	1	1	0.500000000001	0.0	
5	114834537	115180171	4	1	3	1	0.664429530202	1.0	
5	115180172	115290216	2	1	1	1	0.586178357128	0.510961919277	
5	115180172	115290216	3	1	2	0.85	0.586178357128	0.510961919277	
5	115290217	131809758	2	1	1	1	0.500000000001	0.0	
5	131809759	131833987	4	1	3	1	0.664429530202	1.0	
5	131833988	139727164	2	1	1	1	0.500000000001	0.0	
5	139727165	140200126	2	1	1	1	0.524466213326	0.144046369617	
5	139727165	140200126	3	1	2	0.21	0.524466213326	0.144046369617	
5	140200127	172065530	2	1	1	1	0.500000000001	0.0	
5	172065531	172270771	3	1	2	1	0.598393574297	0.584962500721	
5	172270772	172917026	2	1	1	1	0.500000000001	0.0	
5	172917027	173575151	2	1	1	1	0.586178357128	0.510961919277	
5	172917027	173575151	3	1	2	0.85	0.586178357128	0.510961919277	
5	173575152	176065777	2	1	1	1	0.500000000001	0.0	
5	176065778	176726937	3	1	2	1	0.598393574297	0.584962500721	
5	176726938	176928125	5	1	4	1	0.71181556196	1.32192809489	
5	176928126	180715587	2	1	1	1	0.500000000001	0.0	
6	204484	35615538	3	1	2	1	0.598393574297	0.584962500721	
6	35615539	35653556	5	1	4	1	0.778909526663	1.13422093976	
6	35615539	35653556	4	0	4	0.61	0.778909526663	1.13422093976	
6	35653557	35729029	6	1	5	1	0.747474747475	1.58496250072	
6	35729030	35804110	4	1	3	1	0.664429530202	1.0	
6	35804111	36004806	3	1	2	1	0.598393574297	0.584962500721	
6	36004807	39229090	2	1	1	1	0.500000000001	0.0	
6	39229091	39244705	2	1	1	1	0.524466213326	0.144046369617	
6	39229091	39244705	3	1	2	0.21	0.524466213326	0.144046369617	
6	39244706	43677246	2	1	1	1	0.500000000001	0.0	
6	43677247	43703974	3	1	2	1	0.598393574297	0.584962500721	
6	43703975	43906910	4	1	3	1	0.664429530202	1.0	
6	43906911	44165977	3	1	2	1	0.598393574297	0.584962500721	
6	44165978	135148659	2	1	1	1	0.500000000001	0.0	
6	135148660	135200621	4	1	3	1	0.664429530202	1.0	
6	135200622	142545828	2	1	1	1	0.500000000001	0.0	
6	142545829	142605658	2	1	1	1	0.500000000001	0.0	
6	142605659	170915126	2	1	1	1	0.500000000001	0.0	
7	42500	95687622	2	1	1	1	0.500000000001	0.0	
7	95687623	96300117	3	1	2	1	0.598393574297	0.584962500721	
7	96300118	159138662	2	1	1	1	0.500000000001	0.0	
8	161559	3531666	2	1	1	1	0.500000000001	0.0	
8	3531667	3649382	1	0	1	1	0.662251655631	-1.0	
8	3649383	3743956	2	1	1	1	0.500000000001	0.0	
8	3743957	3878120	2	1	1	1	0.631512472373	-0.79836613883	
8	3743957	3878120	1	0	1	0.85	0.631512472373	-0.79836613883	
8	3878121	17433288	2	1	1	1	0.500000000001	0.0	
8	17433289	17467916	3	1	2	1	0.598393574297	0.584962500721	
8	17467917	18352041	2	1	1	1	0.500000000001	0.0	
8	18352042	18684935	2	1	1	1	0.631512472373	-0.79836613883	
8	18352042	18684935	1	0	1	0.85	0.631512472373	-0.79836613883	
8	18684936	26489594	2	1	1	1	0.500000000001	0.0	
8	26489595	26676903	3	1	2	1	0.598393574297	0.584962500721	
8	26676904	27303784	2	1	1	1	0.500000000001	0.0	
8	27303785	27334868	2	1	1	1	0.586178357128	0.510961919277	
8	27303785	27334868	3	1	2	0.85	0.586178357128	0.510961919277	
8	27334869	42069125	2	1	1	1	0.500000000001	0.0	
8	42069126	42740030	3	1	2	1	0.598393574297	0.584962500721	
8	42740031	86981815	2	1	1	1	0.500000000001	0.0	
8	86981816	87694275	3	1	2	1	0.598393574297	0.584962500721	
8	87694276	123372940	2	1	1	1	0.500000000001	0.0	
8	123372941	124062476	3	1	2	1	0.598393574297	0.584962500721	
8	124062477	126366436	2	1	1	1	0.500000000001	0.0	
8	126366437	126489061	2	1	1	1	0.500000000001	0.0	
8	126489062	146364021	2	1	1	1	0.500000000001	0.0	
9	10001	646761	2	1	1	1	0.500000000001	0.0	
9	646762	692918	2	1	1	1	0.586178357128	0.510961919277	
9	646762	692918	3	1	2	0.85	0.586178357128	0.510961919277	
9	692919	21848092	2	1	1	1	0.500000000001	0.0	
9	21848093	22065231	1	0	1	1	0.662251655631	-1.0	
9	22065232	33933135	2	1	1	1	0.500000000001	0.0	
9	33933136	34343918	3	1	2	1	0.598393574297	0.584962500721	
9	34343919	37405897	2	1	1	1	0.500000000001	0.0	
9	37405898	37422374	3	1	2	1	0.598393574297	0.584962500721	
