chromosome	start	end	copy_number	minor_cn	major_cn	ccf	baf	logr	
1	17500	249250620	2	1	1	1	0.5	0.0	
2	9997	242985493	2	1	1	1	0.5	0.0	
3	61495	197842892	2	1	1	1	0.5	0.0	
4	9997	190716493	2	1	1	1	0.5	0.0	
5	17500	180687907	2	1	1	1	0.5	0.0	
6	209980	170921585	2	1	1	1	0.5	0.0	
7	42038	159138662	2	1	1	1	0.5	0.0	
8	161635	146364021	2	1	1	1	0.5	0.0	
9	10001	141213430	2	1	1	1	0.5	0.0	
10	156142	135402733	2	1	1	1	0.5	0.0	
11	197557	135006515	2	1	1	1	0.5	0.0	
12	67500	133851894	2	1	1	1	0.5	0.0	
13	16300000	115169877	2	1	1	1	0.5	0.0	
14	16100000	106362500	2	1	1	1	0.5	0.0	
15	15800000	102531391	2	1	1	1	0.5	0.0	
16	83807	90354752	2	1	1	1	0.5	0.0	
17	15222	81195209	2	1	1	1	0.5	0.0	
18	12500	77661170	2	1	1	1	0.5	0.0	
19	97500	59128982	2	1	1	1	0.5	0.0	
20	82079	63025519	2	1	1	1	0.5	0.0	
21	9412500	48129894	2	1	1	1	0.5	0.0	
22	12200000	51304565	2	1	1	1	0.5	0.0	
