chromosome	start	end	copy_number	minor_cn	major_cn	ccf	baf	logr	
1	1	249250620	2	1	1	1	0.499999999998	0.0	
2	9997	89132285	2	1	1	1	0.499999999998	0.0	
2	89132286	89160437	7	0	7	1	0.858536585365	1.80735492206	
2	89160438	90499999	1	0	1	1	0.632911392403	-1.0	
2	90500000	232953702	1	0	1	1	0.632911392403	-1.0	
2	232953703	243199372	2	1	1	1	0.577634011089	-0.556393348524	
2	232953703	243199372	1	0	1	0.64	0.577634011089	-0.556393348524	
3	74710	118979386	2	1	1	1	0.535143175899	0.238786859587	
3	74710	118979386	3	1	2	0.36	0.535143175899	0.238786859587	
3	118979387	197846280	3	1	2	1	0.586776859505	0.584962500721	
4	9997	191154275	2	1	1	1	0.499999999998	0.0	
5	1	180915259	2	1	1	1	0.499999999998	0.0	
6	1	170919735	2	1	1	1	0.499999999998	0.0	
7	80500	133015359	2	1	1	1	0.499999999998	0.0	
7	133015360	133045964	2	1	1	1	0.499999999998	0.0	
7	133045965	159138662	2	1	1	1	0.499999999998	0.0	
8	1	146364021	2	1	1	1	0.499999999998	0.0	
9	1	141213430	2	1	1	1	0.499999999998	0.0	
10	90127	135534746	2	1	1	1	0.499999999998	0.0	
11	1	135006515	2	1	1	1	0.499999999998	0.0	
12	1	133851894	2	1	1	1	0.499999999998	0.0	
13	16300000	115169877	2	1	1	1	0.499999999998	0.0	
14	20258340	106586134	2	1	1	1	0.499999999998	0.0	
15	15800000	102531391	2	1	1	1	0.499999999998	0.0	
16	143503	90354752	2	1	1	1	0.499999999998	0.0	
17	1880	81195209	2	1	1	1	0.499999999998	0.0	
18	125324	78077247	2	1	1	1	0.499999999998	0.0	
19	252025	59128982	2	1	1	1	0.499999999998	0.0	
20	65900	63025519	2	1	1	1	0.499999999998	0.0	
21	10900000	48129894	2	1	1	1	0.499999999998	0.0	
22	12200000	51304565	2	1	1	1	0.499999999998	0.0	
