chromosome	start	end	copy_number	minor_cn	major_cn	ccf	baf	logr	
1	17500	249250620	1	0	1	1	0.763358778624	-1.0	
2	9997	242942500	2	1	1	1	0.5	0.0	
3	62226	197859631	2	1	1	1	0.5	0.0	
4	75174	190813160	1	0	1	1	0.763358778624	-1.0	
5	48210	180641992	2	1	1	1	0.5	0.0	
6	209980	170907734	2	1	1	1	0.622393726273	-0.483984852996	
6	209980	170907734	1	0	1	0.57	0.622393726273	-0.483984852996	
7	42500	159138662	2	1	1	1	0.5	0.0	
8	180344	146364021	1	0	1	1	0.763358778624	-1.0	
9	10001	141213430	1	0	1	1	0.763358778624	-1.0	
10	97500	135534746	2	1	1	1	0.5	0.0	
11	280000	135006515	2	1	1	1	0.5	0.0	
12	67500	133851894	2	1	1	1	0.5	0.0	
13	16300000	115169877	2	1	1	1	0.539054498409	-0.16004041251	
13	16300000	115169877	1	0	1	0.21	0.539054498409	-0.16004041251	
14	16100000	106023250	2	0	2	1	0.844999999999	0.0	
14	106023251	106573525	2	0	2	1	0.844999999999	0.0	
15	15800000	20699999	2	0	2	1	0.844999999999	0.0	
15	20700000	102531391	2	1	1	1	0.539054498409	-0.16004041251	
15	20700000	102531391	1	0	1	0.21	0.539054498409	-0.16004041251	
16	94205	90354752	2	1	1	1	0.5	0.0	
17	2500	78858121	2	1	1	1	0.5	0.0	
18	12500	78077247	3	1	2	1	0.780384189139	0.163498732283	
18	12500	78077247	2	0	2	0.76	0.780384189139	0.163498732283	
19	97500	59128982	2	1	1	1	0.5	0.0	
20	65900	63025519	2	1	1	1	0.5	0.0	
22	12200000	51304565	2	1	1	1	0.622393726273	-0.483984852996	
22	12200000	51304565	1	0	1	0.57	0.622393726273	-0.483984852996	
