chromosome	start	end	copy_number	minor_cn	major_cn	ccf	baf	logr	
1	958222	36235750	2	1	1	1	0.499999999999	0.0	
1	36235751	37145131	3	1	2	1	0.606299212598	0.584962500721	
1	37145132	67667769	2	1	1	1	0.499999999999	0.0	
1	67667770	68696013	3	1	2	1	0.606299212598	0.584962500721	
1	68696014	128899999	2	1	1	1	0.499999999999	0.0	
1	128900000	145444555	3	1	2	1	0.606299212598	0.584962500721	
1	145444556	249250620	2	1	1	1	0.562592948998	0.33913738492	
1	145444556	249250620	3	1	2	0.53	0.562592948998	0.33913738492	
2	118913	170224014	2	1	1	1	0.499999999999	0.0	
2	170224015	171221039	2	1	1	1	0.499999999999	0.0	
2	171221040	243029595	2	1	1	1	0.499999999999	0.0	
3	91417	198022429	2	1	1	1	0.499999999999	0.0	
4	9997	8348340	2	1	1	1	0.499999999999	0.0	
4	8348341	8478853	2	0	2	1	0.769999999997	0.0	
4	8478854	39304533	2	1	1	1	0.499999999999	0.0	
4	39304534	40347768	3	1	2	1	0.606299212598	0.584962500721	
4	40347769	190886410	2	1	1	1	0.499999999999	0.0	
5	15968	114680868	2	1	1	1	0.499999999999	0.0	
5	114680869	115591047	2	1	1	1	0.499999999999	0.0	
5	115591048	180566206	2	1	1	1	0.499999999999	0.0	
6	1	43681202	3	1	2	1	0.606299212598	0.584962500721	
6	43681203	44604862	4	1	3	1	0.675324675327	1.0	
6	44604863	55385416	3	1	2	1	0.606299212598	0.584962500721	
6	55385417	55514097	2	1	1	1	0.499999999999	0.0	
6	55514098	57238961	2	1	1	1	0.585131098572	0.464668267003	
6	55514098	57238961	3	1	2	0.76	0.585131098572	0.464668267003	
6	57238962	58077013	2	0	2	1	0.769999999997	0.0	
6	58077014	58699999	3	2	1	1	0.413646055435	0.659924558402	
6	58077014	58699999	4	2	2	0.16	0.413646055435	0.659924558402	
6	58700000	63299999	2	0	2	1	0.769999999997	0.0	
6	63300000	170907734	3	1	2	1	0.656548431104	0.400537929584	
6	63300000	170907734	2	0	2	0.36	0.656548431104	0.400537929584	
7	42920	17080883	2	1	1	1	0.499999999999	0.0	
7	17080884	18030084	2	1	1	1	0.520705521471	0.111031312389	
7	17080884	18030084	3	1	2	0.16	0.520705521471	0.111031312389	
7	18030085	111583343	2	1	1	1	0.499999999999	0.0	
7	111583344	111688120	2	1	1	1	0.499999999999	0.0	
7	111688121	159138662	2	1	1	1	0.499999999999	0.0	
8	166322	146364021	2	1	1	1	0.499999999999	0.0	
9	106014	141213430	2	1	1	1	0.499999999999	0.0	
10	104427	135534746	2	1	1	1	0.499999999999	0.0	
11	196944	135006515	2	1	1	1	0.499999999999	0.0	
12	1	56053854	2	1	1	1	0.499999999999	0.0	
12	56053855	56886934	3	1	2	1	0.606299212598	0.584962500721	
12	56886935	110978178	2	1	1	1	0.499999999999	0.0	
12	110978179	111069331	2	1	1	1	0.499999999999	0.0	
12	111069332	133851894	2	1	1	1	0.499999999999	0.0	
13	16300000	115169877	2	1	1	1	0.499999999999	0.0	
15	15800000	102531391	2	1	1	1	0.499999999999	0.0	
16	90024	46415802	2	1	1	1	0.499999999999	0.0	
16	46415803	47327481	2	1	1	1	0.499999999999	0.0	
16	47327482	90354752	2	1	1	1	0.499999999999	0.0	
17	7	81195209	2	1	1	1	0.499999999999	0.0	
18	83099	78077247	2	1	1	1	0.499999999999	0.0	
19	269778	59128982	2	1	1	1	0.499999999999	0.0	
20	74347	33312610	2	1	1	1	0.499999999999	0.0	
20	33312611	34215095	2	1	1	1	0.499999999999	0.0	
20	34215096	63025519	2	1	1	1	0.499999999999	0.0	
22	12200000	51304565	2	1	1	1	0.499999999999	0.0	
