chromosome	start	end	copy_number	minor_cn	major_cn	ccf	baf	logr	
1	17500	90370961	2	1	1	1	0.500000000001	0.0	
1	90370962	90385292	2	1	1	1	0.685025345938	-0.666576266275	
1	90370962	90385292	1	0	1	0.74	0.685025345938	-0.666576266275	
1	90385293	144872499	2	1	1	1	0.500000000001	0.0	
1	144872500	243394485	3	1	2	1	0.6336996337	0.584962500721	
1	243394486	244044632	2	1	1	1	0.685025345938	-0.666576266275	
1	243394486	244044632	1	0	1	0.74	0.685025345938	-0.666576266275	
1	244044633	248738119	3	1	2	1	0.6336996337	0.584962500721	
2	9997	243034519	2	1	1	1	0.500000000001	0.0	
3	103167	198022429	2	1	1	1	0.500000000001	0.0	
4	11870	190721108	2	1	1	1	0.500000000001	0.0	
5	14757	180712442	2	1	1	1	0.500000000001	0.0	
6	203878	58077013	3	1	2	1	0.6336996337	0.584962500721	
6	58077014	170873571	2	1	1	1	0.500000000001	0.0	
7	42038	159138662	3	1	2	1	0.6336996337	0.584962500721	
8	161222	146364021	2	1	1	1	0.500000000001	0.0	
9	10001	21860964	2	1	1	1	0.500000000001	0.0	
9	21860965	21987650	2	1	1	1	0.552425146392	-0.200912693926	
9	21860965	21987650	1	0	1	0.26	0.552425146392	-0.200912693926	
9	21987651	141213430	2	1	1	1	0.500000000001	0.0	
10	95074	135534746	2	1	1	1	0.500000000001	0.0	
11	202253	80643494	1	0	1	1	0.787401574806	-1.0	
11	80643495	135006515	1	0	1	1	0.787401574806	-1.0	
12	67500	133851894	2	1	1	1	0.500000000001	0.0	
13	16300000	115169877	2	1	1	1	0.500000000001	0.0	
14	16100000	106362500	2	1	1	1	0.500000000001	0.0	
15	15800000	20699999	2	1	1	1	0.500000000001	0.0	
15	20700000	102531391	2	1	1	1	0.500000000001	0.0	
16	90538	90012852	2	1	1	1	0.500000000001	0.0	
17	7	81195209	2	1	1	1	0.500000000001	0.0	
18	12500	72241728	2	1	1	1	0.500000000001	0.0	
18	72241729	72615790	2	1	1	1	0.500000000001	0.0	
18	72615791	78077247	2	1	1	1	0.500000000001	0.0	
19	97500	59128982	2	1	1	1	0.500000000001	0.0	
20	74347	63025519	2	1	1	1	0.500000000001	0.0	
21	1	48129894	2	1	1	1	0.500000000001	0.0	
22	12200000	51304565	2	1	1	1	0.500000000001	0.0	
